name,brand,imageUrl,price,category,sub_category,type,stock,unit,discount
Oreo Cream Biscuit,Cadbury,cadbury_oreo_cream_biscuit.png,33,Snacks,Biscuit,Pack,30,120 gm,0
Cheese,Amul,amul_cheese.png,120,Dairy,Cheese,Pack,12,200 gm,0
Fortune Besan,Fortune,fortune_besan.png,70,Grains,Besan,Pack,23,500 gm,5
Ghee,Patanjali,patanjali_ghee.png,550,Dairy,Ghee,Tin,10,1 ltr,5
Dahi,Amul,amul_dahi.png,68,Dairy,Dahi,Pack,24,400 gm,5
Cheese,Amul,amul_cheese.png,141,Dairy,Cheese,Pack,14,200 gm,0
Groundnut Oil,Dhara,dhara_groundnut_oil.png,179,Oils,Groundnut Oil,Bottle,6,1 ltr,0
Aashirvaad Sugar,Aashirvaad,aashirvaad_sugar.png,55,Essentials,Sugar,Pack,39,1 kg,0
Dabur Red Toothpaste,Dabur,dabur_red_toothpaste.png,50,Personal Care,Toothpaste,Tube,25,100 gm,0
Chana Dal,Fortune,fortune_chana_dal.png,87,Dal,Chana Dal,Pack,30,1 kg,0
Nescafe Classic,Nescafe,nescafe_classic.png,157,Beverages,Coffee,Jar,10,50 gm,0
Meat Masala,MDH,mdh_meat_masala.png,91,Masale,Meat,Pack,14,100 gm,15
Daawat Rozana Rice,Daawat,daawat_rozana_rice.png,100,Grains,Chawal,Bag,15,1 kg,0
Dhaniya Powder,Everest,everest_dhaniya_powder.png,62,Masale,Dhaniya,Pack,41,100 gm,0
Haldi Powder,SDS,sds_haldi_powder.png,40,Masale,Haldi,Pack,53,100 gm,10
Kurkure Masala Munch,Kurkure,kurkure_masala_munch.png,20,Snacks,Namkeen,Pack,35,55 gm,0
Moong Dal,Organic India,organic_india_moong_dal.png,116,Dal,Moong Dal,Pack,25,1 kg,0
Real Mixed Fruit Juice,Real,real_mixed_fruit_juice.png,111,Drinks,Juice,Tetra Pak,25,1 ltr,0
Nescafe Classic,Nescafe,nescafe_classic.png,147,Beverages,Coffee,Jar,14,50 gm,0
Dabur Red Toothpaste,Dabur,dabur_red_toothpaste.png,69,Personal Care,Toothpaste,Tube,24,100 gm,20
Lal Mirch Powder,SDS,sds_lal_mirch_powder.png,60,Masale,Mirch,Pack,40,100 gm,5
Marie Gold Biscuit,Britannia,britannia_marie_gold_biscuit.png,48,Snacks,Biscuit,Pack,44,200 gm,5
Haldi Powder,SDS,sds_haldi_powder.png,18,Masale,Haldi,Pack,54,100 gm,5
Garam Masala,MDH,mdh_garam_masala.png,76,Masale,Garam Masala,Pack,32,100 gm,10
Uncle Chips Spicy Treat,Uncle Chips,uncle_chips_spicy_treat.png,31,Snacks,Chips,Pack,25,52 gm,0
Haldi Powder,SDS,sds_haldi_powder.png,41,Masale,Haldi,Pack,48,100 gm,15
Dabur Red Toothpaste,Dabur,dabur_red_toothpaste.png,57,Personal Care,Toothpaste,Tube,22,100 gm,0
Butter,Amul,amul_butter.png,80,Dairy,Butter,Pack,17,100 gm,0
Butter,Amul,amul_butter.png,55,Dairy,Butter,Pack,18,100 gm,0
Patanjali Sooji,Patanjali,patanjali_sooji.png,65,Grains,Sooji,Pack,21,500 gm,0
Kurkure Chilli Chatka,Kurkure,kurkure_chilli_chatka.png,25,Snacks,Namkeen,Pack,35,55 gm,0
Moong Dal,Organic India,organic_india_moong_dal.png,118,Dal,Moong Dal,Pack,19,1 kg,5
Dhaniya Powder,Everest,everest_dhaniya_powder.png,59,Masale,Dhaniya,Pack,31,100 gm,0
Oreo Cream Biscuit,Cadbury,cadbury_oreo_cream_biscuit.png,30,Snacks,Biscuit,Pack,30,120 gm,0
Tata Tea Gold,Tata,tata_tea_gold.png,124,Beverages,Tea,Pack,21,250 gm,0
Chana Dal,Fortune,fortune_chana_dal.png,72,Dal,Chana Dal,Pack,32,1 kg,5
Dhaniya Powder,SDS,sds_dhaniya_powder.png,59,Masale,Dhaniya,Pack,34,100 gm,5
Kissan Tomato Ketchup,Kissan,kissan_tomato_ketchup.png,60,Sauces & Spreads,Ketchup,Bottle,25,200 gm,0
Harpic Toilet Cleaner,Harpic,harpic_toilet_cleaner.png,90,Cleaning,Toilet Cleaner,Bottle,15,500 ml,0
Kala Chana,Organic India,organic_india_kala_chana.png,85,Dal,Kala Chana,Pack,19,1 kg,5
Dahi,Amul,amul_dahi.png,61,Dairy,Dahi,Pack,19,400 gm,0
Aata,Fortune,fortune_aata.png,50,Grains,Aata,Bag,22,1 kg,0
Basmati Chawal,Daawat,daawat_basmati_chawal.png,214,Grains,Chawal,Bag,25,1 kg,5
Groundnut Oil,Dhara,dhara_groundnut_oil.png,194,Oils,Groundnut Oil,Bottle,12,1 ltr,5
Fortune Besan,Fortune,fortune_besan.png,70,Grains,Besan,Pack,25,500 gm,0
Tata Tea Gold,Tata,tata_tea_gold.png,135,Beverages,Tea,Pack,27,250 gm,0
Maggi 2-Minute Noodles,Maggi,maggi_2_minute_noodles.png,11,Ready to Eat,Noodles,Pack,49,70 gm,0
Dahi,Amul,amul_dahi.png,75,Dairy,Dahi,Pack,20,400 gm,5
Kurkure Chilli Chatka,Kurkure,kurkure_chilli_chatka.png,13,Snacks,Namkeen,Pack,32,55 gm,0
Chana Dal,Fortune,fortune_chana_dal.png,72,Dal,Chana Dal,Pack,30,1 kg,0
Basmati Chawal,Daawat,daawat_basmati_chawal.png,210,Grains,Chawal,Bag,20,1 kg,0
Vim Bar,Vim,vim_bar.png,15,Cleaning,Dishwash,Bar,52,100 gm,0
Ghee,Patanjali,patanjali_ghee.png,560,Dairy,Ghee,Tin,8,1 ltr,0
Chaat Masala,Catch,catch_chaat_masala.png,59,Masale,Chaat Masala,Pack,26,100 gm,5
Ghee,Patanjali,patanjali_ghee.png,550,Dairy,Ghee,Tin,10,1 ltr,5
Toor Dal,Tata Sampann,tata_sampann_toor_dal.png,120,Dal,Toor Dal,Pack,25,1 kg,0
Kissan Tomato Ketchup,Kissan,kissan_tomato_ketchup.png,84,Sauces & Spreads,Ketchup,Bottle,23,200 gm,0
Bhujia Sev,Bikaji,bikaji_bhujia_sev.png,34,Snacks,Namkeen,Pack,22,200 gm,0
Dahi,Amul,amul_dahi.png,60,Dairy,Dahi,Pack,20,400 gm,0
Mustard Oil,Saffola,saffola_mustard_oil.png,182,Oils,Mustard Oil,Bottle,22,1 ltr,0
Dhara Refined Oil,Dhara,dhara_refined_oil.png,130,Oils,Refined Oil,Pouch,20,1 ltr,0
Mother Dairy Classic Dahi,Mother Dairy,mother_dairy_classic_dahi.png,51,Dairy,Dahi,Pack,18,400 gm,5
Chana Dal,Fortune,fortune_chana_dal.png,68,Dal,Chana Dal,Pack,33,1 kg,0
Real Orange Juice,Real,real_orange_juice.png,110,Drinks,Juice,Tetra Pak,20,1 ltr,0
Pav Bhaji Masala,Everest,everest_pav_bhaji_masala.png,54,Masale,Pav Bhaji,Pack,22,100 gm,5
Mustard Oil,Saffola,saffola_mustard_oil.png,167,Oils,Mustard Oil,Bottle,18,1 ltr,0
Butter,Amul,amul_butter.png,73,Dairy,Butter,Pack,15,100 gm,0
Ghee,Patanjali,patanjali_ghee.png,538,Dairy,Ghee,Tin,17,1 ltr,0
Cheese,Amul,amul_cheese.png,134,Dairy,Cheese,Pack,8,200 gm,5
Garam Masala,MDH,mdh_garam_masala.png,70,Masale,Garam Masala,Pack,30,100 gm,10
Tata Salt,Tata,tata_salt.png,32,Essentials,Salt,Pack,52,1 kg,0
Basmati Chawal,India Gate,india_gate_basmati_chawal.png,200,Grains,Chawal,Bag,18,1 kg,0
Tata Sampann Moong Chilka Dal,Tata Sampann,tata_sampann_moong_chilka_dal.png,114,Dal,Moong Chilka Dal,Pack,24,1 kg,0
Dhaniya Powder,Everest,everest_dhaniya_powder.png,68,Masale,Dhaniya,Pack,42,100 gm,0
Mustard Oil,Saffola,saffola_mustard_oil.png,157,Oils,Mustard Oil,Bottle,13,1 ltr,5
Kurkure Chilli Chatka,Kurkure,kurkure_chilli_chatka.png,20,Snacks,Namkeen,Pack,35,55 gm,0
Chana Dal,Fortune,fortune_chana_dal.png,79,Dal,Chana Dal,Pack,33,1 kg,0
Haldi Powder,SDS,sds_haldi_powder.png,45,Masale,Haldi,Pack,47,100 gm,10
Kala Chana,Organic India,organic_india_kala_chana.png,80,Dal,Kala Chana,Pack,15,1 kg,0
Dabur Red Toothpaste,Dabur,dabur_red_toothpaste.png,81,Personal Care,Toothpaste,Tube,26,100 gm,5
Kissan Mixed Fruit Jam,Kissan,kissan_mixed_fruit_jam.png,60,Sauces & Spreads,Jam,Bottle,15,200 gm,0
Lal Mirch Powder,SDS,sds_lal_mirch_powder.png,87,Masale,Mirch,Pack,37,100 gm,5
Dabur Red Toothpaste,Dabur,dabur_red_toothpaste.png,59,Personal Care,Toothpaste,Tube,25,100 gm,0
Nescafe Classic,Nescafe,nescafe_classic.png,163,Beverages,Coffee,Jar,13,50 gm,5
Dabur Red Toothpaste,Dabur,dabur_red_toothpaste.png,81,Personal Care,Toothpaste,Tube,19,100 gm,5
Patanjali Dant Kanti,Patanjali,patanjali_dant_kanti.png,50,Personal Care,Toothpaste,Tube,17,100 gm,0
Aashirvaad Sugar,Aashirvaad,aashirvaad_sugar.png,54,Essentials,Sugar,Pack,43,1 kg,5
Amul Dark Chocolate,Amul,amul_dark_chocolate.png,100,Chocolates,Dark Chocolate,Bar,15,150 gm,0
Harpic Toilet Cleaner,Harpic,harpic_toilet_cleaner.png,97,Cleaning,Toilet Cleaner,Bottle,13,500 ml,5
Basmati Chawal,India Gate,india_gate_basmati_chawal.png,206,Grains,Chawal,Bag,20,1 kg,0
Paneer,Mother Dairy,mother_dairy_paneer.png,89,Dairy,Paneer,Pack,17,200 gm,5
Fortune Besan,Fortune,fortune_besan.png,82,Grains,Besan,Pack,17,500 gm,0
Parle-G Biscuit,Parle,parle_g_biscuit.png,22,Snacks,Biscuit,Pack,55,100 gm,0
Garam Masala,MDH,mdh_garam_masala.png,78,Masale,Garam Masala,Pack,29,100 gm,0
Everest Shahi Paneer Masala,Everest,everest_shahi_paneer_masala.png,80,Masale,Paneer Masala,Pack,20,100 gm,5
Kurkure Green Chutney,Kurkure,kurkure_green_chutney.png,20,Snacks,Namkeen,Pack,35,55 gm,0
Dahi,Amul,amul_dahi.png,69,Dairy,Dahi,Pack,20,400 gm,0
Mustard Oil,Saffola,saffola_mustard_oil.png,179,Oils,Mustard Oil,Bottle,13,1 ltr,0
Good Day Biscuit,Britannia,britannia_good_day_biscuit.png,30,Snacks,Biscuit,Pack,35,100 gm,0
Haldi Powder,SDS,sds_haldi_powder.png,40,Masale,Haldi,Pack,51,100 gm,0
Basmati Chawal,Daawat,daawat_basmati_chawal.png,201,Grains,Chawal,Bag,17,1 kg,5
Butter,Amul,amul_butter.png,68,Dairy,Butter,Pack,16,100 gm,5
Surf Excel,Surf Excel,surf_excel.png,53,Cleaning,Detergent,Pack,32,500 gm,0
Butter,Amul,amul_butter.png,77,Dairy,Butter,Pack,14,100 gm,0
Ghee,Patanjali,patanjali_ghee.png,548,Dairy,Ghee,Tin,10,1 ltr,0
Fortune Besan,Fortune,fortune_besan.png,77,Grains,Besan,Pack,23,500 gm,0
Lal Mirch Powder,SDS,sds_lal_mirch_powder.png,56,Masale,Mirch,Pack,41,100 gm,0
Monaco Biscuit,Parle,parle_monaco_biscuit.png,34,Snacks,Biscuit,Pack,41,75 gm,0
Haldi Powder,SDS,sds_haldi_powder.png,43,Masale,Haldi,Pack,57,100 gm,5
Aashirvaad Sugar,Aashirvaad,aashirvaad_sugar.png,66,Essentials,Sugar,Pack,48,1 kg,0
Cheese,Amul,amul_cheese.png,122,Dairy,Cheese,Pack,10,200 gm,0
Dahi,Amul,amul_dahi.png,63,Dairy,Dahi,Pack,22,400 gm,0
Basmati Chawal,Daawat,daawat_basmati_chawal.png,213,Grains,Chawal,Bag,24,1 kg,0
Meat Masala,MDH,mdh_meat_masala.png,90,Masale,Meat,Pack,19,100 gm,0
Patanjali Dant Kanti,Patanjali,patanjali_dant_kanti.png,73,Personal Care,Toothpaste,Tube,16,100 gm,0
Refined Oil,Fortune,fortune_refined_oil.png,130,Oils,Refined Oil,Pouch,20,1 ltr,0
Dahi,Amul,amul_dahi.png,66,Dairy,Dahi,Pack,20,400 gm,5
Chana Dal,Fortune,fortune_chana_dal.png,66,Dal,Chana Dal,Pack,31,1 kg,0
Dabur Red Toothpaste,Dabur,dabur_red_toothpaste.png,63,Personal Care,Toothpaste,Tube,22,100 gm,5
Vim Bar,Vim,vim_bar.png,22,Cleaning,Dishwash,Bar,57,100 gm,0
Haldi Powder,SDS,sds_haldi_powder.png,28,Masale,Haldi,Pack,50,100 gm,5
Moong Dal Namkeen,Haldiram's,haldirams_moong_dal_namkeen.png,45,Snacks,Namkeen,Pack,30,200 gm,0
Cheese,Amul,amul_cheese.png,125,Dairy,Cheese,Pack,16,200 gm,0
Groundnut Oil,Dhara,dhara_groundnut_oil.png,187,Oils,Groundnut Oil,Bottle,5,1 ltr,0
Dabur Red Toothpaste,Dabur,dabur_red_toothpaste.png,51,Personal Care,Toothpaste,Tube,27,100 gm,5
Butter,Amul,amul_butter.png,62,Dairy,Butter,Pack,15,100 gm,5
Cheese,Amul,amul_cheese.png,115,Dairy,Cheese,Pack,11,200 gm,0
Pav Bhaji Masala,Everest,everest_pav_bhaji_masala.png,73,Masale,Pav Bhaji,Pack,24,100 gm,5
Real Mixed Fruit Juice,Real,real_mixed_fruit_juice.png,109,Drinks,Juice,Tetra Pak,24,1 ltr,0
MTR Poha,MTR,mtr_poha.png,44,Ready to Eat,Poha,Pack,25,60 gm,0
Uncle Chips Spicy Treat,Uncle Chips,uncle_chips_spicy_treat.png,20,Snacks,Chips,Pack,25,52 gm,0
Nescafe Classic,Nescafe,nescafe_classic.png,150,Beverages,Coffee,Jar,10,50 gm,0
Cheese,Amul,amul_cheese.png,124,Dairy,Cheese,Pack,12,200 gm,0
Amul Taaza Milk,Amul,amul_taaza_milk.png,56,Dairy,Milk,Pack,30,1 ltr,0
Butter,Amul,amul_butter.png,57,Dairy,Butter,Pack,15,100 gm,5
Rajma,Fortune,fortune_rajma.png,121,Dal,Rajma,Pack,21,1 kg,5
Aata,Fortune,fortune_aata.png,57,Grains,Aata,Bag,19,1 kg,0
MDH Deggi Mirch,MDH,mdh_deggi_mirch.png,61,Masale,Mirch,Pack,34,100 gm,0
Paneer,Mother Dairy,mother_dairy_paneer.png,107,Dairy,Paneer,Pack,18,200 gm,5
Dabur Red Toothpaste,Dabur,dabur_red_toothpaste.png,63,Personal Care,Toothpaste,Tube,22,100 gm,10
Dhaniya Powder,Everest,everest_dhaniya_powder.png,54,Masale,Dhaniya,Pack,45,100 gm,0
Haldi Powder,SDS,sds_haldi_powder.png,40,Masale,Haldi,Pack,50,100 gm,5
Sunflower Oil,Fortune,fortune_sunflower_oil.png,147,Oils,Sunflower Oil,Pouch,25,1 ltr,5
Rajma,Fortune,fortune_rajma.png,116,Dal,Rajma,Pack,20,1 kg,0
Dahi,Amul,amul_dahi.png,78,Dairy,Dahi,Pack,24,400 gm,0
Dabur Red Toothpaste,Dabur,dabur_red_toothpaste.png,80,Personal Care,Toothpaste,Tube,28,100 gm,0
Chana Dal,Fortune,fortune_chana_dal.png,73,Dal,Chana Dal,Pack,29,1 kg,0
Kitchen King Masala,Everest,everest_kitchen_king_masala.png,76,Masale,Kitchen King,Pack,24,100 gm,0
Moong Dal,Organic India,organic_india_moong_dal.png,110,Dal,Moong Dal,Pack,20,1 kg,0
Dabur Red Toothpaste,Dabur,dabur_red_toothpaste.png,69,Personal Care,Toothpaste,Tube,19,100 gm,5
Kitchen King Masala,Everest,everest_kitchen_king_masala.png,80,Masale,Kitchen King,Pack,20,100 gm,5
Butter,Amul,amul_butter.png,75,Dairy,Butter,Pack,19,100 gm,0
Dahi,Amul,amul_dahi.png,71,Dairy,Dahi,Pack,21,400 gm,0
Sabzi Masala,MDH,mdh_sabzi_masala.png,51,Masale,Sabzi,Pack,30,100 gm,10
Mustard Oil,Saffola,saffola_mustard_oil.png,188,Oils,Mustard Oil,Bottle,22,1 ltr,5
Dabur Red Toothpaste,Dabur,dabur_red_toothpaste.png,74,Personal Care,Toothpaste,Tube,27,100 gm,15
Garam Masala,MDH,mdh_garam_masala.png,68,Masale,Garam Masala,Pack,36,100 gm,15
Tata Sampann Moong Chilka Dal,Tata Sampann,tata_sampann_moong_chilka_dal.png,110,Dal,Moong Chilka Dal,Pack,20,1 kg,0
Rajma,Fortune,fortune_rajma.png,120,Dal,Rajma,Pack,20,1 kg,0
Groundnut Oil,Dhara,dhara_groundnut_oil.png,190,Oils,Groundnut Oil,Bottle,12,1 ltr,5
Cheese,Amul,amul_cheese.png,112,Dairy,Cheese,Pack,9,200 gm,5
Aloo Bhujia,Haldiram's,haldirams_aloo_bhujia.png,33,Snacks,Namkeen,Pack,31,200 gm,0
Meat Masala,MDH,mdh_meat_masala.png,74,Masale,Meat,Pack,10,100 gm,5
Good Day Biscuit,Britannia,britannia_good_day_biscuit.png,45,Snacks,Biscuit,Pack,35,100 gm,0
Dabur Red Toothpaste,Dabur,dabur_red_toothpaste.png,61,Personal Care,Toothpaste,Tube,22,100 gm,0
Groundnut Oil,Dhara,dhara_groundnut_oil.png,191,Oils,Groundnut Oil,Bottle,10,1 ltr,5
KitKat,Nestle,nestle_kitkat.png,20,Chocolates,Wafer Chocolate,Bar,25,18 gm,0
Mustard Oil,Saffola,saffola_mustard_oil.png,178,Oils,Mustard Oil,Bottle,17,1 ltr,0
Basmati Chawal,India Gate,india_gate_basmati_chawal.png,197,Grains,Chawal,Bag,18,1 kg,0
Coca-Cola,Coca-Cola,coca_cola.png,40,Drinks,Cold Drink,Bottle,30,750 ml,0
Colgate Strong Teeth,Colgate,colgate_strong_teeth.png,59,Personal Care,Toothpaste,Tube,27,100 gm,0
Dabur Red Toothpaste,Dabur,dabur_red_toothpaste.png,57,Personal Care,Toothpaste,Tube,29,100 gm,5
Lays Classic Salted,Lays,lays_classic_salted.png,26,Snacks,Chips,Pack,43,52 gm,0
Meat Masala,MDH,mdh_meat_masala.png,102,Masale,Meat,Pack,22,100 gm,0
Brown Rice,India Gate,india_gate_brown_rice.png,114,Grains,Chawal,Bag,17,1 kg,0
Chaat Masala,Catch,catch_chaat_masala.png,61,Masale,Chaat Masala,Pack,21,100 gm,0
Meat Masala,MDH,mdh_meat_masala.png,105,Masale,Meat,Pack,12,100 gm,5
Moong Dal,Organic India,organic_india_moong_dal.png,104,Dal,Moong Dal,Pack,22,1 kg,0
Cheese,Amul,amul_cheese.png,135,Dairy,Cheese,Pack,10,200 gm,5
Dhaniya Powder,Everest,everest_dhaniya_powder.png,68,Masale,Dhaniya,Pack,39,100 gm,5
Dabur Red Toothpaste,Dabur,dabur_red_toothpaste.png,58,Personal Care,Toothpaste,Tube,29,100 gm,0
Garam Masala,MDH,mdh_garam_masala.png,82,Masale,Garam Masala,Pack,40,100 gm,10
Tata Salt,Tata,tata_salt.png,18,Essentials,Salt,Pack,49,1 kg,5
Sabzi Masala,MDH,mdh_sabzi_masala.png,57,Masale,Sabzi,Pack,21,100 gm,0
Paneer,Mother Dairy,mother_dairy_paneer.png,101,Dairy,Paneer,Pack,15,200 gm,0
Lal Mirch Powder,SDS,sds_lal_mirch_powder.png,72,Masale,Mirch,Pack,41,100 gm,0
Paneer,Mother Dairy,mother_dairy_paneer.png,81,Dairy,Paneer,Pack,20,200 gm,0
Sabzi Masala,MDH,mdh_sabzi_masala.png,55,Masale,Sabzi,Pack,26,100 gm,5
Ghee,Gowardhan,gowardhan_ghee.png,600,Dairy,Ghee,Tin,8,1 ltr,0
Moong Dal,Organic India,organic_india_moong_dal.png,125,Dal,Moong Dal,Pack,20,1 kg,0
Meat Masala,MDH,mdh_meat_masala.png,66,Masale,Meat,Pack,12,100 gm,10
Lal Qilla Basmati Rice,Lal Qilla,lal_qilla_basmati_rice.png,220,Grains,Chawal,Bag,18,1 kg,0
Milk,Mother Dairy,mother_dairy_milk.png,56,Dairy,Milk,Pack,30,1 ltr,0
Dahi,Amul,amul_dahi.png,60,Dairy,Dahi,Pack,20,400 gm,0
Brown Rice,India Gate,india_gate_brown_rice.png,122,Grains,Chawal,Bag,12,1 kg,0
Amul Vanilla Ice Cream,Amul,amul_vanilla_ice_cream.png,60,Ice Creams,Vanilla,Cup,15,100 ml,0
Meat Masala,MDH,mdh_meat_masala.png,77,Masale,Meat,Pack,13,100 gm,5
Aloo Bhujia,Haldiram's,haldirams_aloo_bhujia.png,39,Snacks,Namkeen,Pack,34,200 gm,5
Rajma,Fortune,fortune_rajma.png,106,Dal,Rajma,Pack,21,1 kg,5
Dhaniya Powder,Everest,everest_dhaniya_powder.png,67,Masale,Dhaniya,Pack,37,100 gm,0
Mustard Oil,Saffola,saffola_mustard_oil.png,174,Oils,Mustard Oil,Bottle,17,1 ltr,0
MDH Deggi Mirch,MDH,mdh_deggi_mirch.png,60,Masale,Mirch,Pack,35,100 gm,10
Pav Bhaji Masala,Everest,everest_pav_bhaji_masala.png,58,Masale,Pav Bhaji,Pack,22,100 gm,5
Fortune Masoor Malka Dal,Fortune,fortune_masoor_malka_dal.png,90,Dal,Masoor Malka Dal,Pack,15,1 kg,0
Ghee,Patanjali,patanjali_ghee.png,551,Dairy,Ghee,Tin,17,1 ltr,0
Groundnut Oil,Dhara,dhara_groundnut_oil.png,180,Oils,Groundnut Oil,Bottle,10,1 ltr,0
Jeera Powder,SDS,sds_jeera_powder.png,70,Masale,Jeera,Pack,30,100 gm,5
Moong Dal,Organic India,organic_india_moong_dal.png,124,Dal,Moong Dal,Pack,19,1 kg,0
Chana Dal,Fortune,fortune_chana_dal.png,72,Dal,Chana Dal,Pack,32,1 kg,0
Meat Masala,MDH,mdh_meat_masala.png,95,Masale,Meat,Pack,15,100 gm,0
Jeera Powder,SDS,sds_jeera_powder.png,71,Masale,Jeera,Pack,34,100 gm,5
Chaat Masala,Catch,catch_chaat_masala.png,55,Masale,Chaat Masala,Pack,25,100 gm,0
Harpic Toilet Cleaner,Harpic,harpic_toilet_cleaner.png,97,Cleaning,Toilet Cleaner,Bottle,15,500 ml,0
Chaat Masala,Catch,catch_chaat_masala.png,69,Masale,Chaat Masala,Pack,25,100 gm,0
Meat Masala,MDH,mdh_meat_masala.png,81,Masale,Meat,Pack,7,100 gm,0
Chaat Masala,Catch,catch_chaat_masala.png,70,Masale,Chaat Masala,Pack,26,100 gm,0
Coca-Cola,Coca-Cola,coca_cola.png,58,Drinks,Cold Drink,Bottle,32,750 ml,0
Dhaniya Powder,Everest,everest_dhaniya_powder.png,58,Masale,Dhaniya,Pack,39,100 gm,0
Dabur Red Toothpaste,Dabur,dabur_red_toothpaste.png,65,Personal Care,Toothpaste,Tube,22,100 gm,10
Amul Vanilla Ice Cream,Amul,amul_vanilla_ice_cream.png,50,Ice Creams,Vanilla,Cup,13,100 ml,0
Kala Chana,Organic India,organic_india_kala_chana.png,68,Dal,Kala Chana,Pack,18,1 kg,5
Sunflower Oil,Fortune,fortune_sunflower_oil.png,145,Oils,Sunflower Oil,Pouch,31,1 ltr,5
Basmati Chawal,Daawat,daawat_basmati_chawal.png,205,Grains,Chawal,Bag,27,1 kg,0
Haldi Powder,SDS,sds_haldi_powder.png,46,Masale,Haldi,Pack,55,100 gm,0
Mustard Oil,Saffola,saffola_mustard_oil.png,160,Oils,Mustard Oil,Bottle,15,1 ltr,0
Dabur Red Toothpaste,Dabur,dabur_red_toothpaste.png,78,Personal Care,Toothpaste,Tube,27,100 gm,5
Kitchen King Masala,Everest,everest_kitchen_king_masala.png,74,Masale,Kitchen King,Pack,20,100 gm,10
Sabzi Masala,MDH,mdh_sabzi_masala.png,71,Masale,Sabzi,Pack,20,100 gm,5
Brown Rice,India Gate,india_gate_brown_rice.png,120,Grains,Chawal,Bag,10,1 kg,0
Toor Dal,Tata Sampann,tata_sampann_toor_dal.png,120,Dal,Toor Dal,Pack,25,1 kg,0
Marie Gold Biscuit,Britannia,britannia_marie_gold_biscuit.png,25,Snacks,Biscuit,Pack,40,200 gm,0
Butter,Amul,amul_butter.png,63,Dairy,Butter,Pack,17,100 gm,10
Haldi Powder,SDS,sds_haldi_powder.png,40,Masale,Haldi,Pack,54,100 gm,5
Vim Bar,Vim,vim_bar.png,10,Cleaning,Dishwash,Bar,50,100 gm,0
